,importance
sqft,985
year_built,678
dist_school_m,626
lot_size,610
ndvi_50m,608
dist_park_m,588
dist_main_road_m,575
road_density_300m,547
ndvi_100m,547
dist_commercial_m,544
ndvi_200m,534
dist_transit_m,531
baths,372
median_home_value,354
beds,300
pop_white,249
pop_black,229
median_gross_rent,220
median_hh_income,205
owner_occupied,197
median_age,191
pct_owner_occupied,186
pct_college_plus,176
pop_masters,171
renter_occupied,160
pop_unemployed,151
unemployment_rate,146
commute_car,143
housing_units_total,143
commute_transit,137
pop_bachelors,130
housing_units_occupied,117
pop_labor_force,101
pop_total,100
pop_asian,98
pop_doctorate,92
commuters_total,88
pop_no_schooling,62
median_year_built,62
pct_renter,47
