,importance
sqft,860
year_built,416
baths,367
lot_size,318
beds,304
median_home_value,268
ndvi_50m,266
dist_main_road_m,218
dist_nearest_school_m,210
road_density_300m,202
dist_transit_m,200
emb_29,182
emb_18,181
pop_white,179
emb_57,178
dist_park_m,176
emb_52,165
emb_19,163
emb_47,161
ndvi_100m,159
emb_54,159
emb_43,158
emb_25,151
emb_26,150
emb_01,148
emb_42,148
emb_46,147
emb_38,146
dist_commercial_m,144
emb_31,141
emb_10,140
emb_41,139
emb_13,138
emb_17,136
emb_39,134
emb_05,131
emb_45,129
emb_06,128
pop_black,128
emb_49,126
emb_59,124
emb_56,123
emb_44,122
emb_07,122
emb_11,119
emb_09,117
emb_60,117
emb_58,117
emb_32,117
emb_24,116
pct_college_plus,112
emb_63,110
emb_28,108
emb_50,106
median_hh_income,105
emb_37,104
emb_12,103
emb_40,102
emb_14,101
emb_00,99
emb_04,99
emb_22,98
emb_53,97
emb_23,97
emb_36,96
emb_03,95
emb_51,95
emb_20,94
pct_owner_occupied,93
emb_35,93
emb_08,91
emb_55,90
emb_48,88
emb_33,88
emb_62,87
emb_30,85
emb_15,83
emb_27,82
emb_34,82
emb_21,81
pop_masters,79
emb_02,77
emb_16,76
ndvi_200m,75
commute_car,75
median_age,75
unemployment_rate,75
median_gross_rent,73
pop_bachelors,73
emb_61,70
owner_occupied,68
pop_unemployed,67
commute_transit,67
renter_occupied,65
housing_units_total,44
pop_labor_force,42
housing_units_occupied,42
pop_doctorate,40
median_year_built,35
police_district,35
pop_total,35
commuters_total,30
pop_no_schooling,28
total_crime_ytd,22
pct_renter,20
schools_1km,18
pop_asian,16
total_crime_rate,13
violent_crime_ytd,12
violent_crime_rate,1
