address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url
10 Portland Pl,Saint Louis,63108.0,Single Family Residential,April-1-2026,500000,7168.0,False,69.75446428571429,6.0,8.0,1908.0,25500.0,,38.6466335,-90.2661303,https://www.redfin.com/MO/Saint-Louis/10-Portland-Pl-63108/home/93745965
2007 Park Ave,Saint Louis,63104.0,Single Family Residential,July-29-2022,835000,4704.0,False,177.50850340136054,6.0,7.5,1876.0,13068.0,,38.6177538,-90.2137285,https://www.redfin.com/MO/Saint-Louis/2007-Park-Ave-63104/home/93701262
2501 Clifton Ave,Saint Louis,63139.0,Single Family Residential,May-22-2024,1200000,7866.0,False,152.55530129672007,6.0,7.5,1901.0,11195.0,,38.615648,-90.293477,https://www.redfin.com/MO/Saint-Louis/2501-Clifton-Ave-63139/home/93743222
6755 Itaska St,Saint Louis,63109.0,Single Family Residential,July-21-2025,430000,2225.0,False,193.25842696629215,2.0,7.0,1952.0,7919.0,,38.5857282,-90.3098812,https://www.redfin.com/MO/Saint-Louis/6755-Itaska-St-63109/home/93781433
8 Kingsbury Pl,Saint Louis,63112.0,Single Family Residential,May-20-2022,1549000,7649.0,False,202.51013204340435,5.0,6.5,1914.0,20691.0,,38.6500351,-90.275257,https://www.redfin.com/MO/Saint-Louis/8-Kingsbury-Pl-63112/home/93724307
2817 S Kingshighway,Saint Louis,63139.0,Single Family Residential,April-12-2023,65000,2436.0,False,26.683087027914613,5.0,6.0,1897.0,4250.0,,38.6069586,-90.2692566,https://www.redfin.com/MO/Saint-Louis/2817-S-Kingshighway-Blvd-63139/home/93727955
53 Portland Pl,Saint Louis,63108.0,Single Family Residential,May-31-2024,1549000,7610.0,False,203.5479632063075,6.0,6.0,1912.0,24655.0,,38.6481637,-90.2736689,https://www.redfin.com/MO/Saint-Louis/53-Portland-Pl-63108/home/93745915
2101 Sidney St,Saint Louis,63104.0,Single Family Residential,February-1-2024,545000,6968.0,False,78.21469575200919,6.0,5.5,1893.0,7085.0,,38.6041604,-90.2189083,https://www.redfin.com/MO/Saint-Louis/2101-Sidney-St-63104/home/93691406
27 Waterman Pl,Saint Louis,63112.0,Single Family Residential,April-10-2023,1290000,5854.0,False,220.36214554151007,6.0,5.5,1905.0,14941.0,,38.6492191,-90.2750768,https://www.redfin.com/MO/Saint-Louis/27-Waterman-Pl-63112/home/93724315
4949 Pershing Pl,Saint Louis,63108.0,Single Family Residential,August-5-2021,949900,6669.0,False,142.4351476983056,6.0,5.5,1898.0,11848.0,,38.6467918,-90.2630297,https://www.redfin.com/MO/Saint-Louis/4949-Pershing-Pl-63108/home/93724387
