address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url,emb_00,emb_01,emb_02,emb_03,emb_04,emb_05,emb_06,emb_07,emb_08,emb_09,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,ndvi_50m,ndvi_100m,ndvi_200m,dist_main_road_m,dist_park_m,dist_school_m,dist_transit_m,dist_commercial_m,road_density_300m,police_district,patrol,violent_crime_ytd,total_crime_ytd,violent_crime_rate,total_crime_rate,dist_nearest_school_m,schools_1km,walk_score,transit_score,bike_score,GEOID,pop_total,median_age,median_hh_income,pop_bachelors,pop_masters,pop_doctorate,pop_no_schooling,pop_labor_force,pop_unemployed,housing_units_total,housing_units_occupied,owner_occupied,renter_occupied,median_gross_rent,median_home_value,median_year_built,commuters_total,commute_car,commute_transit,pop_white,pop_black,pop_asian,pct_owner_occupied,pct_college_plus,unemployment_rate,pct_renter
10 Portland Pl,Saint Louis,63108.0,Single Family Residential,April-1-2026,500000,7168.0,False,69.75446428571429,6.0,8.0,1908.0,25500.0,,38.6466335,-90.2661303,https://www.redfin.com/MO/Saint-Louis/10-Portland-Pl-63108/home/93745965,-0.0140423352143114,-0.2826669706799498,0.0446459565529762,0.0250139881817599,0.0969525982512831,-0.0779618872760956,-0.0491434173357697,-0.0587792928443709,-0.0524552764375529,-0.1867278673402826,0.1274508535559144,-0.135954279813869,-0.1856912919801043,-0.1694353908853157,-0.139303249523451,0.068123249429512,-0.0694629593608151,0.1396196265479342,-0.0255127141205913,0.0865591300312483,-0.0273311653988971,-0.0196243173879364,-0.0769291933586009,0.0103193835885766,0.0290668444160872,0.2842109481004188,-0.0464020386969918,-0.0478300349819981,0.0525523271927093,-0.0365481084235389,-0.0852309511630945,-0.0734924463816607,-0.1049755327047223,0.0357167262053614,0.0980078453601555,-0.0925391062793685,-0.1605007980201983,-0.1360926634741661,-0.022107570775776,-0.0207026298030043,-0.1830735765019198,-0.0376083996059564,0.1836858514093834,0.0751299519886775,0.1018822074722527,0.1532617025412173,0.0630457636475619,0.0197512808272037,0.2171937272184696,-0.1879572922399499,-0.0776862297395067,0.0071183210275536,-0.1759364518356635,0.1642363237152539,0.2596953415200859,-0.0556442222287089,0.1290609717712017,0.1317770538761495,0.065833874202086,0.0623217786603962,0.0678234781293032,-0.0906427373824932,-0.1435450219162705,-0.0230136086440341,0.6113245001758174,0.5834163682445052,0.533154271950708,191.2836306492412,960.2787835055152,663.2582085277415,211.98844046546293,280.3141364313668,1724.1163404472748,3,Central,216,761,3.9272727272727272,13.836363636363636,663.2582085272206,1,60.0,43.0,67.0,295101121001,1404.0,39.9,59985.0,693.0,153.0,77.0,6.0,906.0,36.0,835.0,780.0,307.0,473.0,1219.0,527000.0,1938.0,870.0,677.0,0.0,1099.0,267.0,0.0,39.35897435897436,65.74074074074075,3.9735099337748347,60.641025641025635
2007 Park Ave,Saint Louis,63104.0,Single Family Residential,July-29-2022,835000,4704.0,False,177.50850340136054,6.0,7.5,1876.0,13068.0,,38.6177538,-90.2137285,https://www.redfin.com/MO/Saint-Louis/2007-Park-Ave-63104/home/93701262,0.0214159935010601,-0.2862715103648441,0.0286429678884461,0.0070676606707717,0.1285357508457082,-0.0762938812901768,-0.04955547522703,-0.099843801397207,-0.1018480482281013,-0.1296698618505486,0.0874584877000145,-0.1144860955413417,-0.1800241281911172,-0.1764337074765575,-0.1804142030410352,0.0104791534434921,-0.015145581563428,0.1372447328462509,-0.022455093449159,0.0852682539087579,0.0022094019046884,-0.0535027405375496,-0.1172407472463805,-0.0472958144737844,0.0061413471757581,0.2878938029437819,-0.0162985780179971,-0.0238562457614112,0.012252138344618,-0.03568338392882,-0.0596254859876501,-0.0449318164278865,-0.0673522681223448,0.0061971570486455,0.1073248631870899,-0.0957131650531677,-0.1615620067429743,-0.1265639453552866,-0.0096868249674481,0.0402558727206849,-0.1377448414349937,-0.0480028828819575,0.1577405929775706,0.0760036086922121,0.1408257556743477,0.1094318826625183,0.0413922171626308,0.0437424902648952,0.1833955799688523,-0.1690757813274324,-0.0403221016140244,0.0248395275051632,-0.1824838651603665,0.1187802941919632,0.2531005935162372,-0.0722872270631941,0.1400046627581883,0.138977808995379,0.0610423612790364,0.03596304845794,0.0722524301918628,-0.0762575364336459,-0.2056720435909453,0.0197228002006659,0.3024314081014039,0.3620453451285754,0.3976335955237938,472.2400066996905,256.8313660068656,603.8439045706468,463.2704101427621,65.55440932669846,4672.616239610043,4,Central,349,1016,6.017241379310345,17.517241379310345,603.8439045715689,3,87.0,54.0,69.0,295101274003,1811.0,34.9,88289.0,390.0,155.0,34.0,50.0,1181.0,32.0,1165.0,1036.0,409.0,627.0,956.0,275000.0,1938.0,1149.0,654.0,141.0,1125.0,667.0,0.0,39.478764478764475,31.971286581998896,2.7095681625740897,60.52123552123552
2501 Clifton Ave,Saint Louis,63139.0,Single Family Residential,May-22-2024,1200000,7866.0,False,152.55530129672007,6.0,7.5,1901.0,11195.0,,38.615648,-90.293477,https://www.redfin.com/MO/Saint-Louis/2501-Clifton-Ave-63139/home/93743222,-0.0065609603826512,-0.2875766978954487,0.0694827480792062,0.0085822664073231,0.1082421055403389,-0.049095281298049,-0.070453223006176,-0.0563383063181542,-0.0227564267414484,-0.1984787117890283,0.1086976029497852,-0.1160067746090015,-0.1834776877153603,-0.2001549801078869,-0.1020811956429247,0.0489640636870066,-0.0332710782622106,0.1654020039048245,-0.0745004478060147,0.0847396671791494,-0.0158222398409871,-0.0514061181178166,-0.0972853242098853,-0.0047911643098287,0.0046242757815993,0.2645574652577027,-0.0247642280759833,-0.0621948917777903,0.0715319849435872,-0.0082705602963122,-0.0719306654338989,-0.031339235602534,-0.0435108000981015,0.0350766103890863,0.0610265657404634,-0.0731543082731849,-0.1303047393728705,-0.1412110690193471,-0.0161788078324873,0.0310782474792465,-0.1558380552425178,-0.0468416082890994,0.149684932533198,0.0547658232948784,0.1349297951305725,0.1063409702171638,0.0770743424351232,0.0615994665949602,0.1855621349944342,-0.1557756506406295,-0.0199178263402844,0.0200560152623024,-0.2278167007950225,0.1841538938218836,0.2327687274125881,-0.0600139896757631,0.1223229215640917,0.0922582990045724,0.0669703830972432,0.076349030099613,0.0209973334131488,-0.0984491177816933,-0.1579252076707913,-0.0059050983372168,0.4822459288492505,0.5496242073088977,0.4973927640256508,666.3839508406604,192.12274104777632,785.3900470586315,664.0937901443468,452.3899968854208,5164.514278504436,3,Central,216,761,3.9272727272727272,13.836363636363636,785.390047059442,2,57.0,32.0,30.0,295101036002,707.0,37.4,93875.0,144.0,226.0,4.0,0.0,464.0,3.0,427.0,381.0,323.0,58.0,1427.0,268900.0,1938.0,461.0,338.0,0.0,621.0,6.0,14.0,84.7769028871391,52.899575671852894,0.646551724137931,15.223097112860891
6755 Itaska St,Saint Louis,63109.0,Single Family Residential,July-21-2025,430000,2225.0,False,193.25842696629212,2.0,7.0,1952.0,7919.0,,38.5857282,-90.3098812,https://www.redfin.com/MO/Saint-Louis/6755-Itaska-St-63109/home/93781433,-0.0366089281155851,-0.2915048098296366,0.0972925601287292,-0.0224734005914496,0.0989262180068676,-0.0601824509889736,-0.086007152405871,-0.0892015402326939,-0.0270334875533884,-0.2119672601761926,0.0701666941367508,-0.109110082224719,-0.1583143935241419,-0.1516338541715037,-0.1549230246044096,0.0622559522496331,-0.0473838563964266,0.2130926489491081,0.0021067999806639,0.043803267189213,-0.0369978249399392,0.0347763812988123,-0.0628712572740076,0.0431922291681123,-0.0288386992403629,0.2718976653315736,-0.049710164264812,-0.0512799062044301,0.0704253829530682,-0.071034363853042,-0.0665834303992852,-0.0844866252782056,-0.1083884887190442,0.0025937319478348,0.0861425698981228,-0.0940355833232059,-0.1672820043497709,-0.1070584003298584,0.0019830206655843,0.018695191665392,-0.1700386331939542,-0.0745227916393067,0.1713863109235297,0.056914102580321,0.1044282597325478,0.1295134715689486,0.0312733610463496,0.0459617632875766,0.1979907541467958,-0.2115587420473945,-0.0343161329538721,0.024013861516838,-0.177402576857917,0.1597219728205335,0.2259970985938679,-0.065062103246393,0.1142088318246162,0.1193487435483716,0.0602514151639643,0.0590901455854582,0.0264786136067476,-0.0598114079573722,-0.141534831121044,-0.0357780830497639,0.5842890717280161,0.4887931611247738,0.4368162976333552,236.95367356138087,917.4781446089254,604.0337368740618,358.0288324732515,316.0050285389343,4246.727318445899,1,South,197,781,3.7884615384615374,15.019230769230768,604.0337368744666,1,65.0,45.0,56.0,295101031003,1224.0,39.1,60625.0,269.0,134.0,52.0,0.0,829.0,13.0,782.0,772.0,275.0,497.0,954.0,347400.0,1948.0,766.0,593.0,11.0,973.0,231.0,0.0,35.62176165803109,37.173202614379086,1.5681544028950543,64.37823834196891
8 Kingsbury Pl,Saint Louis,63112.0,Single Family Residential,May-20-2022,1549000,7649.0,False,202.51013204340435,5.0,6.5,1914.0,20691.0,,38.6500351,-90.275257,https://www.redfin.com/MO/Saint-Louis/8-Kingsbury-Pl-63112/home/93724307,-0.0082780944647419,-0.315628212427198,0.0445503387912175,0.0056321494440987,0.1172677456060381,-0.0675284315791778,-0.0679628664968146,-0.094785472021442,-0.0705295044102506,-0.1747963412863361,0.1003370655205044,-0.12292280792355,-0.1850829415718334,-0.1648464266501011,-0.1680269101462097,0.0349262195689262,-0.050820552611175,0.16725441779576,-0.0159491317070501,0.0814331155251264,-0.032464511287153,-0.0157694221567233,-0.090938412854778,-0.0008479757245639,0.0092721807329144,0.2982053509387003,-0.0241370707701119,-0.0306630530276757,0.0295371740931594,-0.0450538139397826,-0.0852529691654551,-0.0897432037372911,-0.1096179505683003,0.0183165533383337,0.1077441010499076,-0.0983929560042627,-0.1705585204902554,-0.1377379449157117,-0.0040206286986031,0.0309097390771632,-0.1620153224948486,-0.0506880864687562,0.179916188472677,0.0761022633485132,0.1042452126615932,0.1172335395926683,0.0545853235396882,0.021032314571219,0.2017535496652444,-0.2068181325979955,-0.0374229784345603,0.0052093359254402,-0.1775952724235566,0.143154049806211,0.249045784285766,-0.0849266768206479,0.1204941741608323,0.1323857060884457,0.0573082555969686,0.04572462851236,0.0716171228479593,-0.061640161666925,-0.1834107826939578,-0.0152761153158841,0.4592021551889967,0.467990690694669,0.4593097139661218,159.2645784370433,888.1646185943613,479.8750718377862,173.1277313873458,370.7574494248022,1324.9495444501183,3,Central,216,761,3.9272727272727272,13.836363636363636,479.8750718380073,2,63.0,53.0,73.0,295101121002,1497.0,39.3,76429.0,411.0,225.0,129.0,7.0,1010.0,10.0,984.0,830.0,362.0,468.0,1148.0,222900.0,1938.0,972.0,568.0,149.0,815.0,328.0,90.0,43.6144578313253,51.10220440881763,0.9900990099009901,56.3855421686747
2817 S Kingshighway,Saint Louis,63139.0,Single Family Residential,April-12-2023,65000,2436.0,False,26.683087027914613,5.0,6.0,1897.0,4250.0,,38.6069586,-90.2692566,https://www.redfin.com/MO/Saint-Louis/2817-S-Kingshighway-Blvd-63139/home/93727955,-0.0285759820548296,-0.2936432225110056,0.0616248604831966,0.0021676403490488,0.0887139089038341,-0.0527799267539243,-0.0513436388139664,-0.1157292834230327,-0.0823372759963169,-0.208445944834289,0.0760223761970831,-0.1428581326695611,-0.1869685369894616,-0.1753907874869677,-0.1296560229249174,0.0882235222429562,-0.0628829455041162,0.1369326228031926,-0.0040758504196252,0.1046509827918602,-0.0233747801673909,-0.0324396364947384,-0.0795461219971871,-0.0028547955073082,-0.0109062530100436,0.2493320468563759,-0.0131928113513448,-0.0931551973756955,0.0478178850808455,-0.0203531904789131,-0.0777749284338683,-0.0683098271550538,-0.1180605288029619,0.0309903512258738,0.0180669972438869,-0.0320136963938013,-0.1444079133649168,-0.1444561576900367,-0.0546614125601224,0.0302457153112149,-0.1085569172959147,-0.00488856411095,0.1275300412018647,0.0778043225189468,0.131039670266312,0.1031421652026215,0.0540946035504874,0.0482386703659657,0.1926189763941065,-0.2002712995653349,-0.0732959703871844,0.029544665662488,-0.1802849863542655,0.1272558763854992,0.2201076295425087,-0.0518524491010797,0.0944478199352824,0.1383464023200277,0.0733954671495404,0.079023516904224,0.0307427344835968,-0.075814910388831,-0.1638545470835441,0.0019979401643232,0.2779727398912696,0.372209778020288,0.4899693119166908,45.66317492019078,1286.364797863273,71.91191204763514,80.43209543905547,369.9009899444711,4372.800360635663,3,Central,216,761,3.9272727272727272,13.836363636363636,71.91191204724568,2,72.0,32.0,65.0,295101272002,901.0,33.2,85658.0,194.0,189.0,15.0,0.0,491.0,0.0,440.0,396.0,106.0,290.0,1134.0,226700.0,1938.0,491.0,371.0,7.0,403.0,455.0,0.0,26.767676767676768,44.173140954495004,0.0,73.23232323232324
53 Portland Pl,Saint Louis,63108.0,Single Family Residential,May-31-2024,1549000,7610.0,False,203.5479632063075,6.0,6.0,1912.0,24655.0,,38.6481637,-90.2736689,https://www.redfin.com/MO/Saint-Louis/53-Portland-Pl-63108/home/93745915,0.0040840848616478,-0.3146873790565802,0.0438233013917119,-0.0206572595968987,0.1037183864260066,-0.0927657465827574,-0.0701832335225573,-0.121713266246794,-0.0850261933847856,-0.1556602004631469,0.1024922735233843,-0.1002583576409305,-0.165385425340566,-0.1756218160970635,-0.1651281742035198,0.0171313516223548,-0.0262058869542256,0.1601648317535107,-0.0322682685693354,0.0733170741994668,-0.0250558224773775,-0.0220485984000862,-0.1092222394046421,-0.0029320735739302,-0.0205338113157552,0.276819952659729,-0.0327746959013699,-0.0304819841199241,0.0458366283243573,-0.0381161260721377,-0.0736361740202865,-0.1037631287035924,-0.0781468477379454,-0.0039641118279386,0.101408138356126,-0.0933266918873093,-0.1726955649367246,-0.1193877731805443,0.0062382014859381,0.0138479824851223,-0.1907250903291197,-0.0578749699293468,0.1605679070045227,0.0724535244993499,0.1097412682373508,0.1229507488459047,0.0264010444094444,0.0515297005080866,0.2010225422323801,-0.1795957549514154,-0.0514872393774044,0.0156321031383664,-0.1804252316001023,0.1382113599806043,0.2488658554376784,-0.0806761859994499,0.1176816839533964,0.1214426227408181,0.066444781104781,0.0274440186921855,0.0630923434121832,-0.0718843472298832,-0.1855069730697432,0.0142602471316423,0.4504922473728993,0.4280944654273773,0.4048809028520573,50.24074162280714,1158.0990730667936,327.27273203649946,44.860103806552864,189.6485724045857,2460.6009316559657,3,Central,216,761,3.9272727272727272,13.836363636363636,327.27273203606444,1,63.0,51.0,75.0,295101121001,1404.0,39.9,59985.0,693.0,153.0,77.0,6.0,906.0,36.0,835.0,780.0,307.0,473.0,1219.0,527000.0,1938.0,870.0,677.0,0.0,1099.0,267.0,0.0,39.35897435897436,65.74074074074075,3.9735099337748347,60.641025641025635
2101 Sidney St,Saint Louis,63104.0,Single Family Residential,February-1-2024,545000,6968.0,False,78.21469575200919,6.0,5.5,1893.0,7085.0,,38.6041604,-90.2189083,https://www.redfin.com/MO/Saint-Louis/2101-Sidney-St-63104/home/93691406,0.0163745470541418,-0.3135081715202631,0.0235739802930955,-0.0147612572915837,0.1490513977682512,-0.0474533966728167,-0.0697101275478066,-0.1422304271148683,-0.1247946616245862,-0.1123227704317349,0.072300696460052,-0.0810895980772816,-0.1523230904914841,-0.2056660965228348,-0.201680084679248,-0.0452527349252335,0.0282340166057867,0.1758697718469608,-0.0009960951782621,0.0702589431279753,-0.0166133949561602,-0.0336625072099375,-0.1226440051031623,-0.0457672554025606,-0.0098972879971993,0.3379106581011923,0.0418815846008186,0.0161312619498167,-0.0061015376978994,-0.0691722671772655,-0.0632951929493362,-0.0623035142168429,-0.076756319966565,-0.0073625211423847,0.1435886181215609,-0.1357035502366329,-0.1611939505851496,-0.106736966786827,0.019839252699196,0.0949249780421499,-0.109948048450737,-0.0902611282838325,0.1674566635548717,0.072892702758737,0.1655498140813639,0.0937868831481126,-0.000842243176515,0.0419567662949979,0.1985360560251822,-0.1597086042717235,-0.0087653759757307,0.0287981652069225,-0.1555150952307767,0.0994004325264734,0.2531433924548268,-0.1226669121392383,0.1569477746329922,0.1147366142438544,0.0625562171834479,-0.028837431576268,0.0973037880004988,-0.0045587589540431,-0.2126871288363908,0.0282134789966537,0.2482589100287206,0.2983582722709414,0.3014852825074057,334.3035538765097,397.70124900253086,728.4470857772428,325.9041301473152,155.8351742103408,5925.959200177486,4,Central,349,1016,6.017241379310345,17.517241379310345,728.4470857753012,4,86.0,42.0,63.0,295101233002,1217.0,33.9,67195.0,273.0,219.0,65.0,0.0,788.0,77.0,611.0,594.0,349.0,245.0,998.0,333400.0,1938.0,687.0,515.0,0.0,720.0,290.0,8.0,58.75420875420876,45.76828266228431,9.771573604060913,41.245791245791246
27 Waterman Pl,Saint Louis,63112.0,Single Family Residential,April-10-2023,1290000,5854.0,False,220.36214554151007,6.0,5.5,1905.0,14941.0,,38.6492191,-90.2750768,https://www.redfin.com/MO/Saint-Louis/27-Waterman-Pl-63112/home/93724315,-0.0047718523287935,-0.3179852273843936,0.0407136678082396,-0.003276248815842,0.1127041855393444,-0.08011862273251,-0.073170052680372,-0.1075759170310298,-0.076655636371354,-0.1666616553720991,0.1136273395650846,-0.1137032216705901,-0.1803532946581674,-0.167566220861398,-0.1707400797188498,0.0261885940936175,-0.0396150196345039,0.1564478650391974,-0.032864564681407,0.0749541604602537,-0.029671468612504,-0.0261417875886164,-0.0988391001860858,-0.0081808089373697,-0.0069275102213868,0.2886453057448716,-0.0255911881830598,-0.0232738073130381,0.0229568600702979,-0.0399565449068356,-0.0781868129855819,-0.0989454315568199,-0.0877342417705832,0.0067082795697453,0.104360916067131,-0.0960797461735003,-0.1781687987400215,-0.1277478599331912,0.0026272208514249,0.0340798557963959,-0.1745919659779348,-0.0522067135482373,0.1763655221896558,0.0773147063821277,0.1002234394304424,0.1154891028588994,0.0479594533602525,0.0312111496225936,0.2031024103487236,-0.2011631824791633,-0.037150106385673,0.012590013627418,-0.1805053453521651,0.1447870670056698,0.2487749160538696,-0.08089626081387,0.1181266637474409,0.1310357676375334,0.0602847076481148,0.0402722877702525,0.067058389830207,-0.0705079820517882,-0.1905153823827969,0.0016547796384541,0.4647277108614748,0.4750917147485829,0.4284445850015065,124.42198201716472,950.2992192791894,446.1130750731163,150.93288193350168,254.021793724843,2246.289672447488,3,Central,216,761,3.9272727272727272,13.836363636363636,446.1130750731113,2,65.0,52.0,78.0,295101121002,1497.0,39.3,76429.0,411.0,225.0,129.0,7.0,1010.0,10.0,984.0,830.0,362.0,468.0,1148.0,222900.0,1938.0,972.0,568.0,149.0,815.0,328.0,90.0,43.6144578313253,51.10220440881763,0.9900990099009901,56.3855421686747
4949 Pershing Pl,Saint Louis,63108.0,Single Family Residential,August-5-2021,949900,6669.0,False,142.4351476983056,6.0,5.5,1898.0,11848.0,,38.6467918,-90.2630297,https://www.redfin.com/MO/Saint-Louis/4949-Pershing-Pl-63108/home/93724387,0.0143637255727668,-0.3213505913162965,0.0366597115385929,0.0039709301847719,0.1319213543314466,-0.0681045159774243,-0.048030702132996,-0.0823439566811289,-0.0861827322874082,-0.1473889834714647,0.1075611868729922,-0.1111304329943818,-0.1712488277138341,-0.189286809674424,-0.1586873307106872,0.0047178616548278,-0.0279111353154681,0.1525200705115626,-0.0302003243578805,0.0821350115273306,-0.0249483751280338,-0.0378178222664384,-0.1127772998751642,-0.0230191184279324,0.0186904205895533,0.3083753536483857,-0.0090202040751152,-0.0171534799505452,0.0345952373526756,-0.0529013767888987,-0.0834516884282782,-0.0751219426744845,-0.090057704953288,0.0263113039283044,0.129343146791945,-0.1155890003442946,-0.1623507400335979,-0.1322765589124675,0.0004040699755194,0.0317043962824488,-0.1589464576973994,-0.0698157316217177,0.1782367303948852,0.0671646861533791,0.1240568128387542,0.1123324133434744,0.0228255577664176,0.0393689215079887,0.189556938930715,-0.1621829215424649,-0.0522241176781471,0.0150553725347105,-0.1862013107592495,0.1445231397406374,0.2518175706739947,-0.0906777109550715,0.1308857456631502,0.1238246748080132,0.0576528492636042,0.0331060846092279,0.0767083724036246,-0.0653097853594689,-0.1913269161219226,0.0154803003518826,0.4709453821261594,0.4793092885661615,0.4333601070956587,136.58505029625823,664.588797358979,779.1074859933663,182.8896589786392,213.59563220098997,3016.968565119546,3,Central,216,761,3.9272727272727272,13.836363636363636,779.1074859933663,3,87.0,44.0,60.0,295101124002,1353.0,35.9,75000.0,297.0,185.0,134.0,0.0,899.0,0.0,1062.0,842.0,262.0,580.0,1122.0,353800.0,1938.0,894.0,384.0,91.0,983.0,18.0,224.0,31.116389548693586,45.52845528455284,0.0,68.88361045130641
