url,walk_score,transit_score,bike_score
https://www.redfin.com/MO/Saint-Louis/10-Portland-Pl-63108/home/93745965,60.0,43.0,67.0
https://www.redfin.com/MO/Saint-Louis/2007-Park-Ave-63104/home/93701262,87.0,54.0,69.0
https://www.redfin.com/MO/Saint-Louis/2501-Clifton-Ave-63139/home/93743222,57.0,32.0,30.0
https://www.redfin.com/MO/Saint-Louis/6755-Itaska-St-63109/home/93781433,65.0,45.0,56.0
https://www.redfin.com/MO/Saint-Louis/8-Kingsbury-Pl-63112/home/93724307,63.0,53.0,73.0
https://www.redfin.com/MO/Saint-Louis/2817-S-Kingshighway-Blvd-63139/home/93727955,72.0,32.0,65.0
https://www.redfin.com/MO/Saint-Louis/53-Portland-Pl-63108/home/93745915,63.0,51.0,75.0
https://www.redfin.com/MO/Saint-Louis/2101-Sidney-St-63104/home/93691406,86.0,42.0,63.0
https://www.redfin.com/MO/Saint-Louis/27-Waterman-Pl-63112/home/93724315,65.0,52.0,78.0
https://www.redfin.com/MO/Saint-Louis/4949-Pershing-Pl-63108/home/93724387,87.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/4700-Gravois-Ave-63116/home/93766619,82.0,38.0,69.0
https://www.redfin.com/MO/Saint-Louis/5095-Waterman-Blvd-63108/home/93745955,77.0,45.0,62.0
https://www.redfin.com/MO/Saint-Louis/37-Kingsbury-Pl-63112/home/93763722,56.0,54.0,76.0
https://www.redfin.com/MO/Saint-Louis/6170-Colorado-Ave-63111/home/93787116,59.0,40.0,55.0
https://www.redfin.com/MO/Saint-Louis/7-Portland-Pl-63108/home/62731987,78.0,43.0,60.0
https://www.redfin.com/MO/Saint-Louis/42-Westmoreland-Pl-63108/home/93745420,61.0,49.0,78.0
https://www.redfin.com/MO/Saint-Louis/1100-Dolman-St-63104/home/143286329,83.0,63.0,61.0
https://www.redfin.com/MO/Saint-Louis/33-Westmoreland-Pl-63108/home/93746100,66.0,47.0,76.0
https://www.redfin.com/MO/Saint-Louis/4509-Pershing-Pl-63108/home/93724700,86.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/3733-Washington-Blvd-63108/home/93701266,74.0,50.0,64.0
https://www.redfin.com/MO/Saint-Louis/3726-Wyoming-St-63116/home/93700097,82.0,44.0,74.0
https://www.redfin.com/MO/Saint-Louis/81-Waterman-Pl-63112/home/93724343,57.0,54.0,80.0
https://www.redfin.com/MO/Saint-Louis/5211-Ridge-Ave-63113/home/93721444,69.0,42.0,66.0
https://www.redfin.com/MO/Saint-Louis/5373-Lindell-Blvd-63112/home/93723621,43.0,53.0,79.0
https://www.redfin.com/MO/Saint-Louis/3406-Hawthorne-Blvd-63104/home/93691070,75.0,42.0,75.0
https://www.redfin.com/MO/Saint-Louis/5257-Lindell-Blvd-63108/home/93745458,58.0,50.0,77.0
https://www.redfin.com/MO/Saint-Louis/1304-S-18th-St-63104/home/93685995,86.0,58.0,65.0
https://www.redfin.com/MO/Saint-Louis/5211-Westminster-Pl-63108/home/62725740,76.0,47.0,67.0
https://www.redfin.com/MO/Saint-Louis/38-Kingsbury-Pl-63112/home/62749213,56.0,54.0,76.0
https://www.redfin.com/MO/Saint-Louis/43-Portland-Pl-63108/home/93745534,63.0,49.0,74.0
https://www.redfin.com/MO/Saint-Louis/1611-Missouri-Ave-63104/home/93700584,85.0,40.0,67.0
https://www.redfin.com/MO/Saint-Louis/11-Washington-Ter-63112/home/93766103,61.0,52.0,67.0
https://www.redfin.com/MO/Saint-Louis/5959-W-Cabanne-Pl-63112/home/93728625,52.0,51.0,50.0
https://www.redfin.com/MO/Saint-Louis/15-Thornby-Pl-63112/home/93723567,52.0,47.0,45.0
https://www.redfin.com/MO/Saint-Louis/4549-Westminster-Pl-63108/home/93739874,87.0,45.0,58.0
https://www.redfin.com/MO/Saint-Louis/4330-W-Pine-Blvd-63108/home/93725149,75.0,56.0,66.0
https://www.redfin.com/MO/Saint-Louis/4327-W-Belle-Pl-63108/home/93740086,61.0,43.0,49.0
https://www.redfin.com/MO/Saint-Louis/3635-S-Compton-Ave-63118/home/62773758,81.0,47.0,57.0
https://www.redfin.com/MO/Saint-Louis/3522-Arsenal-St-63118/home/62694250,87.0,43.0,82.0
https://www.redfin.com/MO/Saint-Louis/5715-Chippewa-St-63109/home/93780996,82.0,38.0,60.0
https://www.redfin.com/MO/Saint-Louis/3810-Botanical-Ave-63110/home/93699823,72.0,40.0,72.0
https://www.redfin.com/MO/Saint-Louis/3029-Saint-Vincent-Ave-63104/home/103204941,65.0,38.0,45.0
https://www.redfin.com/MO/Saint-Louis/4468-Maryland-Ave-63108/home/93724880,80.0,54.0,66.0
https://www.redfin.com/MO/Saint-Louis/5076-Westminster-Pl-63108/home/93746017,77.0,45.0,62.0
https://www.redfin.com/MO/Saint-Louis/2331-Albion-Pl-63104/home/93700534,83.0,41.0,66.0
https://www.redfin.com/MO/Saint-Louis/5519-Bartmer-Ave-63112/home/93722354,56.0,40.0,53.0
https://www.redfin.com/MO/Saint-Louis/6145-Lindell-Blvd-63112/home/93763512,57.0,54.0,79.0
https://www.redfin.com/MO/Saint-Louis/4220-Botanical-Ave-63110/home/78372176,72.0,34.0,69.0
https://www.redfin.com/MO/Saint-Louis/2822-Victor-St-63104/home/93699935,84.0,42.0,64.0
https://www.redfin.com/MO/Saint-Louis/5103-Waterman-Blvd-63108/home/93745953,71.0,46.0,66.0
https://www.redfin.com/MO/Saint-Louis/2107-Park-Ave-63104/home/93701253,82.0,48.0,67.0
https://www.redfin.com/MO/Saint-Louis/3630-Flad-Ave-63110/home/93700186,80.0,38.0,74.0
https://www.redfin.com/MO/Saint-Louis/2112-S-11th-St-63104/home/62775653,88.0,38.0,58.0
https://www.redfin.com/MO/Saint-Louis/5225-Lindell-Blvd-63108/home/93745428,63.0,48.0,75.0
https://www.redfin.com/MO/Saint-Louis/4251-Connecticut-St-63116/home/93729851,77.0,32.0,63.0
https://www.redfin.com/MO/Saint-Louis/3964-Arsenal-St-63116/home/93749655,67.0,37.0,69.0
https://www.redfin.com/MO/Saint-Louis/5277-Lindell-Blvd-63108/home/93745464,55.0,50.0,78.0
https://www.redfin.com/MO/Saint-Louis/5501-Cates-Ave-63112/home/143291150,53.0,43.0,53.0
https://www.redfin.com/MO/Saint-Louis/2241-Hickory-St-63104/home/181866125,78.0,50.0,60.0
https://www.redfin.com/MO/Saint-Louis/2305-Saint-Louis-Ave-63106/home/62766774,61.0,44.0,56.0
https://www.redfin.com/MO/Saint-Louis/8-Hortense-Pl-63108/home/93724401,87.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/4101-W-Pine-Blvd-63108/unit-4/home/169424934,74.0,55.0,70.0
https://www.redfin.com/MO/Saint-Louis/3023-Bailey-Ave-63107/home/93698431,72.0,46.0,61.0
https://www.redfin.com/MO/Saint-Louis/4506-Pershing-Pl-63108/home/93724627,83.0,44.0,62.0
https://www.redfin.com/MO/Saint-Louis/3801-Hartford-St-63116/home/93728270,83.0,42.0,77.0
https://www.redfin.com/MO/Saint-Louis/1000-Russell-Blvd-63104/home/93686257,88.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/4552-Westminster-Pl-63108/home/93739869,88.0,44.0,58.0
https://www.redfin.com/MO/Saint-Louis/11-Lenox-Pl-63108/home/93754474,88.0,44.0,59.0
https://www.redfin.com/MO/Saint-Louis/3-Beverly-Pl-63112/home/93753998,61.0,51.0,63.0
https://www.redfin.com/MO/Saint-Louis/6966-Sutherland-Ave-63109/home/93774076,58.0,49.0,66.0
https://www.redfin.com/MO/Saint-Louis/46-Kingsbury-Pl-63112/home/62768129,57.0,55.0,76.0
https://www.redfin.com/MO/Saint-Louis/5280-Westminster-Pl-63108/home/93745880,69.0,50.0,67.0
https://www.redfin.com/MO/Saint-Louis/1833-S-8th-St-63104/home/93685148,92.0,37.0,59.0
https://www.redfin.com/MO/Saint-Louis/1401-Missouri-Ave-63104/home/93700547,79.0,45.0,66.0
https://www.redfin.com/MO/Saint-Louis/4350-McPherson-Ave-63108/home/93725552,77.0,43.0,62.0
https://www.redfin.com/MO/Saint-Louis/1424-Mississippi-Ave-63104/home/93697505,86.0,51.0,69.0
https://www.redfin.com/MO/Saint-Louis/4616-McPherson-Ave-63108/home/65207091,88.0,44.0,59.0
https://www.redfin.com/MO/Saint-Louis/3614-California-Ave-63118/home/93696248,83.0,43.0,53.0
https://www.redfin.com/MO/Saint-Louis/4318-Laclede-Ave-63108/home/93725206,73.0,57.0,65.0
https://www.redfin.com/MO/Saint-Louis/3801-Utah-Pl-63116/home/93682376,79.0,44.0,65.0
https://www.redfin.com/MO/St-Louis/3209-Shenandoah-Ave-63104/home/198866717,82.0,43.0,70.0
https://www.redfin.com/MO/Saint-Louis/4254-Arsenal-St-63116/home/93750753,77.0,32.0,67.0
https://www.redfin.com/MO/Saint-Louis/2712-S-Compton-Ave-63118/home/93692010,82.0,44.0,72.0
https://www.redfin.com/MO/Saint-Louis/5105-Cabanne-Ave-63113/home/93752273,78.0,42.0,55.0
https://www.redfin.com/MO/Saint-Louis/2319-Whittemore-Pl-63104/home/93700522,85.0,40.0,67.0
https://www.redfin.com/MO/Saint-Louis/2625-Ohio-Ave-63118/home/178428436,86.0,42.0,62.0
https://www.redfin.com/MO/Saint-Louis/5245-Washington-Pl-63108/home/93749456,74.0,48.0,66.0
https://www.redfin.com/MO/Saint-Louis/3524-Victor-St-63104/home/93692412,84.0,42.0,75.0
https://www.redfin.com/MO/Saint-Louis/2317-Park-Ave-63104/home/93701057,81.0,43.0,65.0
https://www.redfin.com/MO/St-Louis/2147-College-Ave-63107/home/194354353,43.0,44.0,65.0
https://www.redfin.com/MO/Saint-Louis/4467-McPherson-Ave-63108/home/93740227,82.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/30-Portland-Pl-63108/home/93745960,65.0,48.0,72.0
https://www.redfin.com/MO/Saint-Louis/32-Washington-Ter-63112/home/93763739,58.0,53.0,68.0
https://www.redfin.com/MO/Saint-Louis/2912-Iowa-Ave-63118/home/143288513,85.0,42.0,61.0
https://www.redfin.com/MO/Saint-Louis/4448-Maryland-Ave-63108/home/62754057,77.0,53.0,64.0
https://www.redfin.com/MO/Saint-Louis/3536-Victor-St-63104/home/93692413,84.0,42.0,75.0
https://www.redfin.com/MO/Saint-Louis/3859-Flora-Pl-63110/home/109920094,75.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/4312-Washington-Blvd-63108/home/93683779,71.0,43.0,52.0
https://www.redfin.com/MO/Saint-Louis/5231-Westminster-Pl-63108/home/62725318,70.0,49.0,70.0
https://www.redfin.com/MO/Saint-Louis/5901-Highfield-Rd-63109/home/93782887,48.0,31.0,50.0
https://www.redfin.com/MO/Saint-Louis/3634-Flad-Ave-63110/home/93700189,80.0,38.0,74.0
https://www.redfin.com/MO/Saint-Louis/4167-Enright-Ave-63108/home/93745176,62.0,43.0,52.0
https://www.redfin.com/MO/Saint-Louis/2118-Lafayette-Ave-63104/home/62739077,84.0,40.0,66.0
https://www.redfin.com/MO/Saint-Louis/4550-Pershing-Pl-63108/home/93724616,87.0,44.0,61.0
https://www.redfin.com/MO/Saint-Louis/2656-January-Ave-63139/home/84307902,82.0,32.0,62.0
https://www.redfin.com/MO/Saint-Louis/3846-Flad-Ave-63110/home/93700319,76.0,37.0,67.0
https://www.redfin.com/MO/Saint-Louis/4137-McDonald-Ave-63116/home/93728835,62.0,40.0,57.0
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-1-Benton/home/167145579,74.0,55.0,70.0
https://www.redfin.com/MO/St-Louis/215-N-Sarah-St-63108/unit-10-Monet/home/184905662,74.0,55.0,70.0
https://www.redfin.com/MO/Saint-Louis/53-Westmoreland-Pl-63108/home/93745453,63.0,52.0,79.0
https://www.redfin.com/MO/Saint-Louis/2404-S-11th-St-63104/home/93686741,87.0,40.0,59.0
https://www.redfin.com/MO/St-Louis/1027-Lami-St-63104/home/195978952,88.0,38.0,59.0
https://www.redfin.com/MO/Saint-Louis/5847-Holly-Hills-Ave-63109/home/93777677,72.0,33.0,53.0
https://www.redfin.com/MO/Saint-Louis/1010-Russell-Blvd-63104/home/93686253,88.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/2819-Lafayette-Ave-63104/home/93700511,74.0,38.0,54.0
https://www.redfin.com/MO/Saint-Louis/4050-Shreve-Ave-63115/home/93733577,64.0,40.0,42.0
